URL,Titre,Chapeau,Description,Date de début,Date de fin,Mots clés,Nom du lieu,Adresse du lieu,Code postal,Ville,Coordonnées géographiques,Type de prix,audience,durée
https://www.paris.fr/evenements/baila-babibou-spectacle-danse-musique-des-6-mois-34155,"Baila Babibou : spectacle danse & musique, dès 6 mois","Baila Babibou propose un dialogue entre une mélodie féérique et une danseuse envoutée, pour les enfants, de 6 mois à 6 ans.","<p>La danseuse démarre le spectacle en chrysalide, son corps est d’abord caché, dans son cocon, une forme naissante étrange avance, rampe, apprend à bouger. Le corps se découvre et évolue au fur et à mesure des sons et du rythme, au sol puis debout, sur ses jambes et ses pieds. Le rythme s’accélère, les mélodies se transforment, pour devenir enfin un joli papillon.</p><p>À la fin du spectacle, nous proposons aux enfants de venir danser avec les artistes et évoluer librement autour des artistes pendant 5 minutes.<br></p>",2023-06-21 13:30:00+02:00,2023-06-21 14:00:00+02:00,"Danse,Enfants,Spectacle musical",Bibliothèque Jacqueline de Romilly,16 avenue de la Porte Montmartre,75018,Paris,"48.8994220173449, 2.33641997088512",gratuit,Public enfants. A partir de 1 ans. Jusqu'à 7 ans.,0
https://www.paris.fr/evenements/le-fil-des-noeuds-34268,Le fil des nœuds,"Exposition collective de La.ima du 10 juin au 8 juillet 2023.
VERNISSAGE LE 10 JUIN DE 17 À 20H00","<p>Qu'y a-t-il au-delà de la peau qui cache la cicatrice ?</p><p>Dans quel lieu commun nos corps individuels se transforment-ils en corps collectifs, en corps composites ?</p><p>Au-delà du physique, quelque chose naît, grandit, persiste : les liens.</p><p>Le fil des nœuds est la deuxième exposition de La.ima. à la Médiathèque Edmond Rostand. Quatre regards de femmes photographes se croisent et à partir d'une construction collective, les œuvres de Bruna Azevedo, Stéphanie Kowalski, Laurence Lebon et Anne-Marie Rodriguez vont mettre le spectateur face à une réflexion autour de la construction des liens sous le prisme du genre.</p><p>Comment notre corps tisse des relations avec la famille, la patrie, l'altérité ou encore, un nouveau né ?</p><p>Comment les liens sont-ils construits, se développent et se transforment?</p><p>Les réponses à ces questions proviennent de leurs histoires tout en nous connectant avec l’actualité de notre société contemporaine.</p><p>La commissaire Ioana Mello, et la fondatrice de La.ima., Oleñka Carrasco, concevront un montage immersif et étendu bien au-delà de la salle d'exposition. La.ima. est un espace d'expérimentation et de questionnement de la photographie, créé en 2021, avec la ferme ambition de transformer la pédagogie et la transmission autour de l'image.</p><p>Commissariat : Ioana De Mello</p><p>Direction conceptuelle et de recherche : Oleñka Carrasco</p><p>Avec les photographes : Bruna Azevedo, Stéphanie Kowalski, Laurence Lebon et</p><p>Anne-Marie Rodriguez</p>",2023-06-10 02:00:00+02:00,2023-07-09 01:59:59+02:00,"Art contemporain,Expo,Photo",Médiathèque Edmond Rostand,11 rue Nicolas Chuquet,75017,Paris,"48.8883939892465, 2.30309000346023",gratuit,Public  adolescents adultes.,28
https://www.paris.fr/evenements/parcours-d-intellectuels-en-exil-un-humanisme-sans-frontieres-34245,Parcours d’intellectuels en exil : un humanisme sans frontières,Un cycle de 4 conférences dédié aux trajectoires intellectuelles de l'exil.,"<p>L’exil n’a jamais épargné les intellectuels. Il a même été, 
au XXe siècle et jusqu’à nos jours, une des conditions habituelles de la
 vie de l’esprit. Mais s’il force la pensée et la création à 
s’interrompre, il les amène parfois aussi à s’épanouir ailleurs, voire 
même à se nourrir de cette situation faite de pertes et de contraintes.</p><p>Le cycle de conférences ""Parcours d’intellectuels en exil : un humanisme sans frontières""
 cherche à rendre visible la complexité de ces trajectoires 
intellectuelles et leur importance tant pour le renouveau de la pensée 
que pour celui de la démocratie.</p><p>Chaque conférence est organisée autour d’un intellectuel exilé, le 
plus souvent accueilli à la FMSH ou à l’EHESS. Avec les spécialistes 
invités à les présenter, ces intellectuels représentent les horizons les
 plus variés, qu’il s’agisse de leur pays d’origine, de leur discipline 
de prédilection, de la période et des conditions de leur exil.</p><p>Fruit d’une collaboration engagée depuis plus de dix ans fondée sur 
des valeurs partagées, telles que le soutien à la démocratie et aux 
droits humains, ce cycle de conférence est organisé à l'initiative 
d’Álvaro Vasconcelos par la Fondation Calouste Gulbenkian et la 
Fondation Maison des sciences de l’homme (FMSH).</p><p><strong>Programme</strong></p><ul><li>Mardi 28 mars | Milan Kundera, un passeur entre deux Europes<br>Avec Jacques Rupnik &amp; Iryna Dmytrichina</li><li>Mardi 18 avril | Intellectuels français en exil : les implications de l’hospitalité<br>Avec Joël Roman &amp; Vassiliki-Piyi Christopoulou</li></ul><ul><li>Mardi 30 mai | Celso Furtado : un exil académique<br>Avec Rosa Freire d’Aguiar &amp; Glauber Sezerino</li></ul><ul><li>Mardi 13 juin | L'exil : comme libération et réinvention de l'identité<br>Avec Lun Zhang</li></ul>",2023-03-28 02:00:00+02:00,2023-06-14 01:59:59+02:00,"Conférence,Littérature,Sciences",Fondation Maison des sciences de l'homme,54 boulevard Raspail,75006,Paris,"48.8502890192206, 2.32696501646515",gratuit,Public  adolescents adultes.,77
https://www.paris.fr/evenements/concert-java-musique-du-pays-sunda-33666,"Concert : Java, musique du pays Sunda",Venez découvrir la musique du pays Sunda de l'île de Java avec l'ensemble Gamelan Degung Sora Gumbira !,"<p>Basé à Paris, <strong>Gamelan Degung Sora Gumbira</strong> (<em>Moments de bonheur</em>) est un groupe composé de
sept musiciens passionnés de culture indonésienne. En résidence à la
médiathèque, ils présentent le fruit de leur travail avec ce concert
exceptionnel.</p><p>Le <em>Gamelan Degung</em> est un ensemble de percussions
mélodiques en bronze originaire de Sunda, une région située
dans l’ouest de l'île de Java. Cet ancien royaume hindouisé a développé
une musique délicate et raffinée. Autrefois réservé aux cérémonies princières, ce petit orchestre aux sonorités cristallines,
délicates et sophistiquées est souvent
accompagné d’une flûte. Le concert propose un programme composé de répertoires classique et moderne, arrangés par le
groupe. Ce voyage dans un monde aux sonorités inhabituelles est une
occasion rare de découvrir cette tradition musicale ancestrale.</p><p><strong>Musiciens :</strong></p><p>Laurence Bioteau-Huis</p><p>Marie-Pierre Faurite</p><p>Marc Lannelongue</p><p>Hélène Myara</p><p>Hélène Piffeteau</p><p>Rizki Ramdhani</p><p>Frederic Rebotier</p><div class=""component-image""><img src=""https://cdn.paris.fr/qfapv4/2023/03/09/original-7386f5ef3d1f381327af6e4b547e5274.jpg"" alt=""Gamelan Degung Sora Gumbira""></img></div><p>Retrouvez sur Youtube des enregistrements du groupe : <a href=""http://www.youtube.com/watch?v=R3p3QmtTqOo"" target=""_blank"" rel=""noopener"" title=""Ouverture dans un nouvel onglet"">Kucap Kicup gamelan degung Paris 2017</a>, <a href=""http://www.youtube.com/watch?v=a0fiqHSRUCE"" target=""_blank"" rel=""noopener"" title=""Ouverture dans un nouvel onglet"">sakura</a><br> <br></p><p><strong>vendredi 26 mai 2023 à 19h</strong></p><p><strong><strong></strong></strong><strong>Auditorium (niveau -1)</strong></p><p><strong>Tout public</strong></p><p><strong></strong><strong>Sur inscription partir <strong>du 26 avril sur <a href=""https://www.billetweb.fr/pro/agendayourcenar"" target=""_blank"">www.billetweb.fr/pro/agendayourcenar</a></strong><strong> ou auprès des bibliothécaires</strong></strong></p>",2023-05-26 22:00:00+02:00,2023-05-27 00:00:00+02:00,"Concert,Musique",Médiathèque Marguerite Yourcenar,"41, rue d'Alleray",75015,Paris,"48.83680697942, 2.30348101924335",gratuit,Tout public.,0
https://www.paris.fr/evenements/p-tit-dej-litteraire-34251,P'tit-Déj' Littéraire,Les bibliothécaires vous lisent leurs derniers coups de cœur dans une ambiance conviviale. Venez partager ce moment avec nous !,"<p>Depuis quelques éditions, cette animation est aussi participative : <strong>venez vous aussi lire vos textes préférés</strong>, qu’il s’agisse de romans récents, de classiques ou de documentaires. (5 minutes maximum par texte)
 
 <strong></strong></p><p><strong>Samedi 10 juin 2023 à 10h30 </strong><strong></strong></p><p><strong>Salle d'animation (niveau +1)</strong></p><p><strong>Public ado-adulte</strong></p><p><strong></strong><strong>Entrée libre </strong></p>",2023-06-10 13:30:00+02:00,2023-06-10 15:00:00+02:00,Littérature,Médiathèque Marguerite Yourcenar,"41, rue d'Alleray",75015,Paris,"48.83680697942, 2.30348101924335",gratuit,Public  adolescents adultes.,0
https://www.paris.fr/evenements/seconde-vie-l-art-de-recycler-33848,"« Seconde vie », quand l'art urbain explore le recyclage au Fluctuart","Pour cette nouvelle exposition, le centre d'art urbain le Fluctuart (7e) propose à huit artistes issus de l’art urbain d’aborder le thème du recyclage sous toutes ses formes.","<p>Livres anciens, canettes en aluminium, bouteilles en plastiques usagées ou vieux cartons sont autant d’éléments qui semblent dénués d’intérêt aux yeux de beaucoup d’entre nous. Ils constituent cependant un incroyable réservoir de ressources pour les artistes urbains rivalisant d’ingéniosité qui les découpent, les assemblent ou les peignent. C’est dans les plis, les fissures et les marques du temps que leur imagination vagabonde…</p><p>Ememem, Evazésir, Jibé, Joachim Romain, FKDL, Le Diamantaire, Madame et My Dog Sighs mêlent éléments d’hier et d’aujourd’hui. Que ce soit dans une logique de respect des ressources et de l’environnement ou pour le pouvoir évocateur des objets qui ont déjà eu une histoire, ils intègrent des matériaux usagés dans leur processus de création.</p><p>Une seconde vie s’offre à eux et une nouvelle histoire s’écrit alors à travers une exposition originale qui invite petits et grands à s’interroger à leur tour sur leur rapport aux objets et à l’environnement.</p><p>Évazésir, Evol, FKDL, Jibé, Le Diamantaire, Madame et My Dog Sighs sont invités à réaliser une œuvre inédite au sein de Fluctuart.</p><p>Commissariat d’exposition : Céline NEVEUX</p><div class=""component-image""><img src=""https://cdn.paris.fr/qfapv4/2023/03/13/original-39dc0025eb88b5cafc46c900f9321cf0.jpeg"" alt=""My Dog Sights ""></img></div>",2023-03-18 13:00:00+01:00,2023-06-12 04:00:00+02:00,"Expo,Street-art",Fluctuart,PONT DES INVALIDES | PORT DU GROS CAILLOU,75007,Paris,"48.8630099822129, 2.31041997778715",gratuit,Tout public.,85
https://www.paris.fr/evenements/model-actriz-guests-34676,Model / Actriz + Guests,L'Inter présente :,"<p><strong>Model / Actriz</strong></p><p>Dogsbody, le premier album du groupe Model/Actriz, basé à Brooklyn, est un album de transition vers le monde adulte qui se déroule entre le crépuscule et l'aube. l s'agit autant d'une exploration de l'amour et de la perte que d'une ode tranchante et violente à la joie explosive d'être en vie - la luminosité écrasante de regarder le soleil.</p><p>La musique s'inspire de la physicalité et de la répétition de la musique électronique, ainsi que des sons implacables et entraînants des scènes urbaines et des trains de banlieue. Le groupe s'est inspiré de la dance music et de la façon dont elle peut être reconstruite, remixée ou décomposée en éléments centraux qui permettent à une chanson de rester intacte et incisive. Coproduit et mixé par Seth Manchester (Lingua Ignota, The Body, Battles), l'album est intrinsèquement tangible ; écrit dans des environnements très différents (la maison des parents de Shapiro dans le Vermont, la cabane du grand-père de Haden en Pennsylvanie, le bâtiment Pfizer à Brooklyn, ainsi que le sous-sol de la galerie d'art The Hole à Tribeca) et reconstitué dans l'univers propre au groupe. Le rythme tendu et la puissance industrielle de la musique qui en résultent créent un terrain propice à l'exploration des paroles par le chanteur Cole Haden - la ville, ses dangers et ses tentations</p><p>Model/Actriz sont connus pour leurs concerts enflammés, mais les performances du groupe, ainsi que Dogsbody lui-même, sont en réalité un portail d'invitation et de transcendance, une série de moments intimes partagés entre ceux qui y assistent.</p>",2023-06-09 23:00:00+02:00,2023-06-10 02:00:00+02:00,"Concert,Musique",L'international,5 rue Moret,75011,Paris,"48.86681, 2.37987",payant,Tout public.,0
https://www.paris.fr/evenements/jan-van-imschoot-les-nocturnes-des-bonnes-vivantes-34809,Jan Van Imschoot - Les Nocturnes des Bonnes Vivantes,"Le peintre belge Jan Van Imschoot dévoile « Les nocturnes des bonnes vivantes », une nouvelle série flamboyante et jubilatoire, dédiée à son propre panthéon des grandes figures féminines marquantes de l’histoire. Installées à la manière des séquences d’un film, les toiles au fond noir se succèdent, déclinant visages familiers et personnages plus obscurs : la cinéaste Alice Guy, Madame de Pompadour, Camille Claudel, l’anarchiste Louise Michel, la peintre anversoise Michaelina Wautier ou encore le déserteur travesti Paul Grappe.","<p>Ce récit tout personnel donne à Van Imschoot l’occasion de s’emparer des canons de la peinture. Sur la toile principale de près de 3.5m de long - le même format que le célèbre <em>Déjeuner sur l’herbe</em> de Manet - Van Imschoot combine les symboles, comme Manet en abusait. Les projecteurs d’Alice Guy campent dans une scène inspirée du Tintoret, où les fleurs et le bouveret de Manet côtoient pêle-mêle une raie de Chardin, un panneau solaire et un autoportrait de Van Imschoot. Plus loing, la toile en hommage à Louise Michel représente un bateau du nom de la « Constipation », clin d’œil humoristique au climat politique anarchiste dans lequel a évolué la militante.<br></p><p>Entre ses mains, la peinture devient un terrain de jeux propice à une réflexion sur la relation triangulaire entre ses trois plus grandes passions : l’art, le langage et la vérité. Pour Van Imschoot, la beauté de l’art pictural réside en ce que lui seul peut faire éclater les codes du langage et de la vérité.</p><div class=""component-image""><img src=""https://cdn.paris.fr/qfapv4/2023/03/30/original-5dcfa6fa87b031682b4e1d6bae049e0f.jpg"" alt=""La prophétie prégnante du bonheur, 2022""></img></div>",2023-03-25 11:00:00+01:00,2023-05-30 22:00:00+02:00,Expo,Galerie Templon,30 rue Beaubourg,75004,Paris,"48.8620339934072, 2.35407603082902",gratuit,Tout public.,66
https://www.paris.fr/evenements/conversation-les-coulisses-de-la-voltige-34637,[conversation] Les coulisses de la voltige,On se lance ? Oui mais comment ? Oui mais pourquoi ?,"<p><strong>Avec Matthieu Gary, Sidney Pin et la poétesse funambule Marion Collé,</strong> on prends le temps de se rencontrer, d’échanger, de réfléchir ensemble autour de la thématique de la CoOP : ""on se lance ?"" Un espace chaleureux et ouvert avec la compagnie.</p><p>Comment écrire à partir d’une expérience physique ?</p><p>Comment mettre en jeux les rapports qui se jouent dans les pratiques dites risquées ?</p><p>Où en sommes nous de nos peurs ? Et de notre courage ?</p><p>On se lance ? On ne se lance pas ?</p><p>Vous avez des questions ?</p><div class=""component-image""><img src=""https://cdn.paris.fr/qfapv4/2023/04/03/original-857fbcbfabc6bb2a2c2bd88f3acf1c40.jpg"" alt=""Matthieu Gary &amp; Sidney Pin""></img></div><div class=""component-image""><img src=""https://cdn.paris.fr/qfapv4/2023/04/03/original-04851c689b16e23ea046631cc14d125a.jpg"" alt=""De bonnes raisons avec Matthieu Gary &amp; Sidney Pin""></img></div>",2023-05-24 23:00:00+02:00,2023-05-25 00:30:00+02:00,"Cirque,Conférence",La Maison des métallos,"94, rue Jean-Pierre Timbaud",75011,Paris,"48.867741, 2.377855",payant,Tout public.,0
https://www.paris.fr/evenements/enfants-et-musique-33751,Enfants et Musique,"Des animations, des concerts, des ateliers pour Petits et Grands !","<h2>Conte musical : Mademoiselle Louise et
l'aviateur allié (musique Julien Joubert, texte Gaël
Lépingle)</h2><p><strong>Mercredi 24 mai, 15h</strong></p><p><strong>Entrée
libre. Auditorium. À partir de 5 ans.</strong></p><p><em>L’attitude
étrange de Melle Louise, l’institutrice, aurait-elle quelque chose à voir avec
cette rumeur, qui dit qu’un avion américain s’est écrasé non loin de là ?</em></p><p><strong>Par les chœurs
d’enfants 9-10 ans du Conservatoire du 20<sup>ème</sup></strong>,
accompagnés au piano par Marcell Petö. Direction musicale Anne Goniaux.</p><h2>Rencontre musicale avec Alain
Schneider</h2><p><strong>Samedi 3 juin, 15h</strong></p><p><strong>Entrée libre. Auditorium. À partir de 5 ans.</strong></p><p>Compositeur-arrangeur,
il commence à écrire et composer des chansons pour ses quatre filles, avant
d’être repéré par Universal. Aujourd’hui, on ne peut plus évoquer la chanson
jeune public sans prononcer son nom. Il donne vie et relief à son univers
poétique en s’attachant à la qualité de la musique, car les oreilles des enfants
ne sont pas moins sensibles que celles des grands !</p><p><strong>Mini-concert</strong> suivi d’une <strong>discussion</strong> avec le public</p><h2>Séance Ludophones</h2><p><strong>Samedi 10 juin, 11h</strong></p><p><strong>Sur
inscription, à partir de 5 ans.</strong></p><p>Exploration ludique des
ludophones, objets sonores insolites. On gratte, on tape et on
écoute : il y a plein de sons à découvrir avec ces drôles
d’instruments !</p><h2>Récital de piano, par Anna Tcherkasskaia</h2><p><strong>Samedi 10 juin, 15h </strong></p><p><strong>Entrée
libre. Auditorium. À partir de 5 ans.</strong></p><p>Voix
et cordes, timbres et claviers se rencontrent et s’accordent pour produire une
atmosphère riche, subtile et unique.</p><p>Ce
concert a pour but de vous faire découvrir quelques œuvres des compositeurs
russes comme Moussorgski, Rimski-Korsakov, Tchaïkovski. Et vous faire entendre
des extraits des « Saisons », des pièces pour piano et des airs
interprétés par une soprano.</p><h2>Concert-lecture « le Bestiaire »</h2><p><strong>Mercredi 14 juin, 15h</strong></p><p><strong>Entrée
libre. Auditorium. À partir de 5 ans.</strong></p><p>Une
sélection de chants, assortis de poésies lues par les bibliothécaires, sur le
thème des animaux. Avec des compositions d’Edwin Baudo, Julien Joubert,
Isabelle Aboulker…</p><p><strong>Par
le chœur d’enfants Préparatoire du Conservatoire du 20<sup>ème</sup></strong>, accompagnés au piano par Sylvain Combaluzier.
Direction musicale Rémi Aguirre.</p><h2>Atelier
numérique spécial musique</h2><p><strong>Samedi 17 juin, 11h, sur inscription</strong></p><h2>Une heure entière dans les histoires, spéciale musique<br></h2><p><strong>Samedi 21 juin, 15h<br></strong></p><p><strong>Entrée libre, à partir de 4 ans, salle du conte</strong></p><p>Des lectures d'albums, de contes, et de poésie.<br></p><h2>Écoute musicale des bibliothécaires</h2><p><strong>Samedi 24 juin, 11h</strong></p><p><strong>Entrée
libre, à partir de 3 ans. Salle du conte</strong></p><h2>Le grand Quiz des instruments de
musique, animé par les bibliothécaires, à partir de 5 ans</h2><p><strong>Samedi 24 juin, 15h</strong></p><p><strong>Entrée
libre, tout public, Espace jeunesse</strong></p><h2>Jouez du piano !</h2><p><strong>Samedi 24 juin, à partir de 16h </strong></p><p>Un clavier
numérique vous est réservé ; venez jouer pour tous votre morceau
préféré ! (<strong>sur inscription à partir du 23 mai </strong>pour les participants)</p>",2023-05-24 18:00:00+02:00,2023-06-24 21:00:00+02:00,"Enfants,Musique,Spectacle musical",Médiathèque Marguerite Duras,"115, rue de Bagnolet",75020,Paris,"48.8598389825131, 2.40322700813562",gratuit,Public enfants adolescents.,31
