id,url,titre,chapeau,description,date_de_début,date_de_fin,mots_clés,nom_du_lieu,adresse_du_lieu,code_postal,ville,coordonnées_géographiques,type_de_prix,audience,genre,durée,nom_du_musee,année,region,payant,gratuit,total
35898,https://www.paris.fr/evenements/nouveaute-baby-visite-au-musee-bourdelle-35898,Nouveauté ! Baby-visite au musée Bourdelle,Profitez d'une visite sensorielle et d'un temps de relaxation avec votre bébé (avant la marche) pour découvrir le musée Bourdelle.,"<p>Une 
visite sensorielle et participative adaptée aux bambins accompagnés de 
leurs parents. La découverte toute en émotions et sensations des 
sculptures d’Antoine Bourdelle est suivie par un temps de relaxation qui
 se termine par la réalisation d’une mini sculpture, souvenir de la 
visite.</p><p>En partenariat avec le MAM</p><p>2<sup>ème</sup> mercredi du mois à 10h30</p><p>Durée : 1h<strong></strong></p><p><strong>Pour les bébés avant la marche et leurs parents</strong></p><p>Porte bébé obligatoire et tenue souple vivement conseillée</p><p>Thématiques :</p><p>10/05 : La danse des bébés</p><p>14/06 : Frimousse</p>",2023-05-10 13:30:00+02:00,2023-06-14 14:30:00+02:00,"Atelier,Enfants",Musée Bourdelle,"18, rue Antoine Bourdelle",75015,Paris,"48.8429750124193, 2.31858797479356",payant,Public enfants adultes.,Atelier,35,Musée Bourdelle,2019,ILE-DE-France,69186,92307,161493
35898,https://www.paris.fr/evenements/nouveaute-baby-visite-au-musee-bourdelle-35898,Nouveauté ! Baby-visite au musée Bourdelle,Profitez d'une visite sensorielle et d'un temps de relaxation avec votre bébé (avant la marche) pour découvrir le musée Bourdelle.,"<p>Une 
visite sensorielle et participative adaptée aux bambins accompagnés de 
leurs parents. La découverte toute en émotions et sensations des 
sculptures d’Antoine Bourdelle est suivie par un temps de relaxation qui
 se termine par la réalisation d’une mini sculpture, souvenir de la 
visite.</p><p>En partenariat avec le MAM</p><p>2<sup>ème</sup> mercredi du mois à 10h30</p><p>Durée : 1h<strong></strong></p><p><strong>Pour les bébés avant la marche et leurs parents</strong></p><p>Porte bébé obligatoire et tenue souple vivement conseillée</p><p>Thématiques :</p><p>10/05 : La danse des bébés</p><p>14/06 : Frimousse</p>",2023-05-10 13:30:00+02:00,2023-06-14 14:30:00+02:00,"Atelier,Enfants",Musée Bourdelle,"18, rue Antoine Bourdelle",75015,Paris,"48.8429750124193, 2.31858797479356",payant,Public enfants adultes.,Atelier,35,Musée Bourdelle,2020,ILE-DE-France,15977,34827,50804
36253,https://www.paris.fr/evenements/mini-sculpteur-1-3-ans-en-famille-36253,Mini-sculpteur 1-3 ans en famille,Les tout-petits et leurs parents sont invités à une découverte ludique du musée Bourdelle et à créer leur premier modelage en terre.,"<p>Après
 une découverte ludique du musée Bourdelle, les enfants, assistés de 
leurs parents, sont invités à réaliser un visage en argile. À l’issue de
 cette séance, chacun repart avec son modelage.</p><p>Public : Enfants de 1 à 3 ans et leurs parents</p><p>Durée : 1h</p><p>Plein tarif : 7 euros</p><p>Tarif réduit : 5 euros</p><p>Il est conseillé de prévoir un petit carton ou une boite à chaussures pour transporter leur création à l'issue de l'atelier.</p>",2023-07-08 18:30:00+02:00,2023-09-03 14:00:00+02:00,"Atelier,Enfants,Loisirs",Musée Bourdelle,"18, rue Antoine Bourdelle",75015,Paris,"48.8429750124193, 2.31858797479356",payant,Tout public. A partir de 1 ans.,Atelier,56,Musée Bourdelle,2019,ILE-DE-France,69186,92307,161493
36253,https://www.paris.fr/evenements/mini-sculpteur-1-3-ans-en-famille-36253,Mini-sculpteur 1-3 ans en famille,Les tout-petits et leurs parents sont invités à une découverte ludique du musée Bourdelle et à créer leur premier modelage en terre.,"<p>Après
 une découverte ludique du musée Bourdelle, les enfants, assistés de 
leurs parents, sont invités à réaliser un visage en argile. À l’issue de
 cette séance, chacun repart avec son modelage.</p><p>Public : Enfants de 1 à 3 ans et leurs parents</p><p>Durée : 1h</p><p>Plein tarif : 7 euros</p><p>Tarif réduit : 5 euros</p><p>Il est conseillé de prévoir un petit carton ou une boite à chaussures pour transporter leur création à l'issue de l'atelier.</p>",2023-07-08 18:30:00+02:00,2023-09-03 14:00:00+02:00,"Atelier,Enfants,Loisirs",Musée Bourdelle,"18, rue Antoine Bourdelle",75015,Paris,"48.8429750124193, 2.31858797479356",payant,Tout public. A partir de 1 ans.,Atelier,56,Musée Bourdelle,2020,ILE-DE-France,15977,34827,50804
36561,https://www.paris.fr/evenements/atelier-de-modelage-en-famille-les-etranges-petites-betes-du-jardin-36561,Atelier de modelage en famille - Les étranges petites bêtes du jardin,"Après une découverte joyeuse des jardins du musée et des petites bêtes qui s'y cachent, les enfants imaginent en argile leur propre créature.","<p>Après une découverte joyeuse des jardins du musée et des petites 
bêtes qui s'y cachent, les enfants imaginent en argile leur propre 
créature. À l’issue de cette séance, chacun repart avec son modelage.</p><p>Public : Enfants de 3 à 5 ans et leurs parents</p><p>Durée : 1h30</p><p>Il est conseillé de prévoir un petit carton ou une boite à chaussures pour transporter leur création à l'issue de l'atelier.</p><p>À noter : il est nécessaire de réserver une place pour chaque adulte et enfant participant aux activités en famille.</p>",2023-07-26 19:00:00+02:00,2023-08-10 20:30:00+02:00,"Atelier,Enfants,Nature",Musée Bourdelle,"18, rue Antoine Bourdelle",75015,Paris,"48.8429750124193, 2.31858797479356",payant,Tout public. A partir de 3 ans.,Atelier,15,Musée Bourdelle,2019,ILE-DE-France,69186,92307,161493
36561,https://www.paris.fr/evenements/atelier-de-modelage-en-famille-les-etranges-petites-betes-du-jardin-36561,Atelier de modelage en famille - Les étranges petites bêtes du jardin,"Après une découverte joyeuse des jardins du musée et des petites bêtes qui s'y cachent, les enfants imaginent en argile leur propre créature.","<p>Après une découverte joyeuse des jardins du musée et des petites 
bêtes qui s'y cachent, les enfants imaginent en argile leur propre 
créature. À l’issue de cette séance, chacun repart avec son modelage.</p><p>Public : Enfants de 3 à 5 ans et leurs parents</p><p>Durée : 1h30</p><p>Il est conseillé de prévoir un petit carton ou une boite à chaussures pour transporter leur création à l'issue de l'atelier.</p><p>À noter : il est nécessaire de réserver une place pour chaque adulte et enfant participant aux activités en famille.</p>",2023-07-26 19:00:00+02:00,2023-08-10 20:30:00+02:00,"Atelier,Enfants,Nature",Musée Bourdelle,"18, rue Antoine Bourdelle",75015,Paris,"48.8429750124193, 2.31858797479356",payant,Tout public. A partir de 3 ans.,Atelier,15,Musée Bourdelle,2020,ILE-DE-France,15977,34827,50804
36559,https://www.paris.fr/evenements/atelier-de-modelage-pour-enfants-mon-heros-olympique-36559,Atelier de modelage pour enfants - Mon héros olympique,"Modelez votre héros Olympique, dans le sillage de l'Héraklès Archer d'Antoine Bourdelle.","<p>Après une observation des déclinaisons d'<em>Héraklès Archer</em> d'Antoine 
Bourdelle, les enfants sont invités à modeler leur héros Olympique.</p><p>Il est conseillé de prévoir un petit carton ou une boite à chaussures pour transporter leur création à l'issue de l'atelier.</p><p>Public : Enfants à partir de 7 ans</p><p>Durée : 2h</p>",2023-07-20 13:00:00+02:00,2023-07-27 15:00:00+02:00,"Atelier,Enfants,Loisirs",Musée Bourdelle,"18, rue Antoine Bourdelle",75015,Paris,"48.8429750124193, 2.31858797479356",payant,Public enfants. A partir de 7 ans.,Atelier,7,Musée Bourdelle,2019,ILE-DE-France,69186,92307,161493
36559,https://www.paris.fr/evenements/atelier-de-modelage-pour-enfants-mon-heros-olympique-36559,Atelier de modelage pour enfants - Mon héros olympique,"Modelez votre héros Olympique, dans le sillage de l'Héraklès Archer d'Antoine Bourdelle.","<p>Après une observation des déclinaisons d'<em>Héraklès Archer</em> d'Antoine 
Bourdelle, les enfants sont invités à modeler leur héros Olympique.</p><p>Il est conseillé de prévoir un petit carton ou une boite à chaussures pour transporter leur création à l'issue de l'atelier.</p><p>Public : Enfants à partir de 7 ans</p><p>Durée : 2h</p>",2023-07-20 13:00:00+02:00,2023-07-27 15:00:00+02:00,"Atelier,Enfants,Loisirs",Musée Bourdelle,"18, rue Antoine Bourdelle",75015,Paris,"48.8429750124193, 2.31858797479356",payant,Public enfants. A partir de 7 ans.,Atelier,7,Musée Bourdelle,2020,ILE-DE-France,15977,34827,50804
36261,https://www.paris.fr/evenements/petit-sculpteur-a-quatre-mains-visite-et-atelier-de-modelage-en-famille-36261,Visite et atelier de modelage en famille - Petit sculpteur à quatre mains,"Suite à une visite contée, petits et grands sont invités à réaliser un modelage en terre, en écho avec l’œuvre de Bourdelle.","<p>Une plasticienne du musée accompagne les familles et commente une 
sculpture du musée.</p><p>Petits et grands sont ensuite invités à réaliser un 
modelage en terre, à leur mesure, en écho avec l'œuvre de Bourdelle.</p><p>Il est conseillé d’apporter une boîte en carton afin de transporter le modelage réalisé.</p><p>Public : en famille, à partir de 4 ans.</p><p>À noter : il est nécessaire de réserver une place pour chaque adulte et enfant participant aux activités en famille.</p>",2023-05-07 17:00:00+02:00,2023-09-03 15:30:00+02:00,"Atelier,Enfants,Loisirs",Musée Bourdelle,"18, rue Antoine Bourdelle",75015,Paris,"48.8429750124193, 2.31858797479356",payant,Tout public. A partir de 4 ans.,Atelier,118,Musée Bourdelle,2019,ILE-DE-France,69186,92307,161493
36261,https://www.paris.fr/evenements/petit-sculpteur-a-quatre-mains-visite-et-atelier-de-modelage-en-famille-36261,Visite et atelier de modelage en famille - Petit sculpteur à quatre mains,"Suite à une visite contée, petits et grands sont invités à réaliser un modelage en terre, en écho avec l’œuvre de Bourdelle.","<p>Une plasticienne du musée accompagne les familles et commente une 
sculpture du musée.</p><p>Petits et grands sont ensuite invités à réaliser un 
modelage en terre, à leur mesure, en écho avec l'œuvre de Bourdelle.</p><p>Il est conseillé d’apporter une boîte en carton afin de transporter le modelage réalisé.</p><p>Public : en famille, à partir de 4 ans.</p><p>À noter : il est nécessaire de réserver une place pour chaque adulte et enfant participant aux activités en famille.</p>",2023-05-07 17:00:00+02:00,2023-09-03 15:30:00+02:00,"Atelier,Enfants,Loisirs",Musée Bourdelle,"18, rue Antoine Bourdelle",75015,Paris,"48.8429750124193, 2.31858797479356",payant,Tout public. A partir de 4 ans.,Atelier,118,Musée Bourdelle,2020,ILE-DE-France,15977,34827,50804
