REF DU MUSEE,NOM DU MUSEE,Année,REGION,VILLE,PAYANT,GRATUIT,TOTAL,ID MUSEOFILE,NOMDEP,Identifiant Muséofile,Adresse,Code Postal,URL,Latitude,Longitude,geolocalisation
7511503,Musée de la Libération de Paris - Musée du Général Leclerc - Musée Jean Moulin,2019,ILE-DE-France,PARIS,0,49570,49570,M1109,PARIS,M1109,23 allée de la 2ème Division Blindée,75015,www.museeliberation-leclerc-moulin.paris.fr/,48.840614,2.319773,"48.840614, 2.319773"
7511503,Musée de la Libération de Paris - Musée du Général Leclerc - Musée Jean Moulin,2020,ILE-DE-France,PARIS,10232,31075,41307,M1109,PARIS,M1109,23 allée de la 2ème Division Blindée,75015,www.museeliberation-leclerc-moulin.paris.fr/,48.840614,2.319773,"48.840614, 2.319773"
7510705,Etablissement public du musée d'Orsay et de l'Orangerie - Musée d'Orsay,2019,ILE-DE-France,PARIS,2010889,1640727,3651616,M5060,PARIS,M5060,"1, rue de Bellechasse",75007,www.musee-orsay.fr/,48.859157,2.323672,"48.859157, 2.323672"
7510705,Établissement public du musée d'Orsay et du musée de l'Orangerie - Valéry Giscard d'Estaing - Musée d'Orsay,2020,ILE-DE-France,PARIS,424192,443082,867274,M5060,PARIS,M5060,"1, rue de Bellechasse",75007,www.musee-orsay.fr/,48.859157,2.323672,"48.859157, 2.323672"
7510516,Musée du Service de Santé des Armées du Val-de-Grâce,2019,ILE-DE-France,PARIS,9508,4475,13983,M9024,PARIS,M9024,"1, place Alphonse Laveran",75005,www.ecole-valdegrace.sante.defense.gouv.fr/bibliotheque-musee/musee-du-service-de-sante-des-armees,48.840814,2.341091,"48.840814, 2.341091"
7510516,Musée du Service de Santé des Armées du Val-de-Grâce,2020,ILE-DE-France,PARIS,2964,2252,5216,M9024,PARIS,M9024,"1, place Alphonse Laveran",75005,www.ecole-valdegrace.sante.defense.gouv.fr/bibliotheque-musee/musee-du-service-de-sante-des-armees,48.840814,2.341091,"48.840814, 2.341091"
7511701,Musée National Jean-Jacques Henner,2019,ILE-DE-France,PARIS,22468,17120,39588,M5039,PARIS,M5039,"43, avenue de Villiers",75017,www.musee-henner.fr/,48.883045,2.307689,"48.883045, 2.307689"
7511701,Musée National Jean-Jacques Henner,2020,ILE-DE-France,PARIS,2173,2237,4410,M5039,PARIS,M5039,"43, avenue de Villiers",75017,www.musee-henner.fr/,48.883045,2.307689,"48.883045, 2.307689"
7510701,Musée de l'Armée,2019,ILE-DE-France,PARIS,672810,579285,1252095,M5025,PARIS,M5025,"129, rue de Grenelle",75007,www.musee-armee.fr/accueil.html,48.858219,2.312885,"48.858219, 2.312885"
7510701,Musée de l'Armée,2020,ILE-DE-France,PARIS,122497,228521,351018,M5025,PARIS,M5025,"129, rue de Grenelle",75007,www.musee-armee.fr/accueil.html,48.858219,2.312885,"48.858219, 2.312885"
7510405,Maison de Victor Hugo,2019,ILE-DE-France,PARIS,6726,64418,71144,M1114,PARIS,M1114,6 place des Vosges,75004,www.maisonsvictorhugo.paris.fr/,48.854808,2.366232,"48.854808, 2.366232"
7510405,Maison de Victor Hugo,2020,ILE-DE-France,PARIS,0,100,100,M1114,PARIS,M1114,6 place des Vosges,75004,www.maisonsvictorhugo.paris.fr/,48.854808,2.366232,"48.854808, 2.366232"
7510706,Musée National de la Légion d'Honneur et des Ordres de Chevalerie,2019,ILE-DE-France,PARIS,0,46619,46619,M5059,PARIS,M5059,"2, rue de la Légion d'honneur",75007,www.legiondhonneur.fr/fr,48.860294,2.324768,"48.860294, 2.324768"
7510706,Musée National de la Légion d'Honneur et des Ordres de Chevalerie,2020,ILE-DE-France,PARIS,0,18193,18193,M5059,PARIS,M5059,"2, rue de la Légion d'honneur",75007,www.legiondhonneur.fr/fr,48.860294,2.324768,"48.860294, 2.324768"
7510304,Musée des Arts et Métiers,2019,ILE-DE-France,PARIS,81371,138969,220340,M5065,PARIS,M5065,"60, rue Réaumur",75003,www.arts-et-metiers.net/,48.865357,2.357046,"48.865357, 2.357046"
7510304,Musée des Arts et Métiers,2020,ILE-DE-France,PARIS,21572,62138,83710,M5065,PARIS,M5065,"60, rue Réaumur",75003,www.arts-et-metiers.net/,48.865357,2.357046,"48.865357, 2.357046"
7510519,Institut du Monde Arabe,2019,ILE-DE-France,PARIS,238591,1191,239782,M0365,PARIS,M0365,"1, rue des Fossés-Saint-Bernard, Place Mohammed-V",75005,www.imarabe.org/fr/musee/presentation-du-musee,48.843955,2.352176,"48.843955, 2.352176"
7510519,Institut du Monde Arabe,2020,ILE-DE-France,PARIS,78858,0,78858,M0365,PARIS,M0365,"1, rue des Fossés-Saint-Bernard, Place Mohammed-V",75005,www.imarabe.org/fr/musee/presentation-du-musee,48.843955,2.352176,"48.843955, 2.352176"
7510901,Musée National Gustave Moreau,2020,ILE-DE-France,PARIS,7977,10485,18462,M5041,PARIS,M5041,"14, rue de la Rochefoucauld",75009,musee-moreau.fr/,48.877878,2.334383,"48.877878, 2.334383"
7510901,Musée National Gustave Moreau,2019,ILE-DE-France,PARIS,20375,22762,43137,M5041,PARIS,M5041,"14, rue de la Rochefoucauld",75009,musee-moreau.fr/,48.877878,2.334383,"48.877878, 2.334383"
7511615,Musée d'Art Moderne de la ville de Paris,2020,ILE-DE-France,PARIS,93935,195084,289019,M1101,PARIS,M1101,11 avenue du Président Wilson,75116,www.mam.paris.fr/fr,48.864603220958784,2.29843234195393,"48.864603220958784, 2.29843234195393"
7511615,Musée d'Art Moderne de la ville de Paris,2019,ILE-DE-France,PARIS,146018,143449,289467,M1101,PARIS,M1101,11 avenue du Président Wilson,75116,www.mam.paris.fr/fr,48.864603220958784,2.29843234195393,"48.864603220958784, 2.29843234195393"
