identifiant_muséofile,nom_officiel_du_musée,adresse
M0411,musée français de la carte à jouer et galerie d'histoire de la ville,"16, rue Auguste Gervais"
M0413,musée des automates,12 rue du centre
M5019,musée national de la céramique,Place de la Manufacture
M1114,maison de Victor Hugo,6 place des Vosges
M1104,musée Carnavalet - histoire de Paris,"23, rue de Sévigné"
M1204,musée Yves Saint Laurent Paris,5 avenue Marceau
M1111,"Petit Palais, musée des beaux-arts de la ville de Paris",Avenue Winston-Churchill
M1116,musée de la poste,"34, boulevard de Vaugirard"
M5030,musée de l'Orangerie des Tuileries,Jardin des Tuileries
M5021,musée des arts décoratifs (Union centrale des arts décoratifs),"107, rue de Rivoli"
M0363,musée de la chasse et de la nature,62 rue des Archives
M5065,musée des arts et métiers,"60, rue Réaumur"
M5066,musée des monnaies et médailles,"11, quai de Conti"
M5007,musée Hébert,"85, rue du Cherche-Midi"
M5060,musée d'Orsay,"1, rue de Bellechasse"
M5073,musée Nissim de Camondo (Union centrale des arts décoratifs),"63, rue de Monceau"
M0370,musée de l'école de Barbizon - auberge Ganne,"92, Grande Rue"
M0371,musée Alfred Bonno,Place de la République
M5013,musée national du château de Fontainebleau,Château de Fontainebleau - Place du général de Gaulle
M0378,musée Bossuet,"5, place Charles-de-Gaulle"
M1171,musée de la Grande Guerre,Rue Lazare Ponticelli
M0380,musée municipal,place de Samois
M0382,musée de préhistoire d'Île-de-France,48 avenue Etienne Dailly
M0432,musée du vieil Argenteuil,12-14 Boulevard Léon Feix
M0434,musée archéologique départemental du Val d'Oise,4 place du Château
M0435,musée d'art et d'histoire Louis Senlecq,31 Grande rue
M0437,musée Jean-Jacques Rousseau,"5, rue Jean-Jacques Rousseau"
M0438,musée Tavet Delacour,"4, rue Lemercier"
M0430,musée Emile Jean,"31, rue Louis-Lenoir"
M0392,maison-musée Maurice Ravel,5 rue Maurice-Ravel
M0397,musée municipal Ducastel-Vera de Saint-Germain-en-Laye,38 rue au Pain
M5077,musée national des châteaux de Versailles et de Trianon,Place d'Armes
M0401,musée français de la photographie,"78, rue de Paris"
M0403,musée municipal Robert Dubois-Corneau,"16, rue du Réveillon"
M0410,musée Roybet-Fould,"Parc de Bécon, 178 Boulevard Saint Denis"
M0415,musée d'histoire locale - mémoire de la ville,Place du 11 novembre
M0418,MUS - musée d'histoire urbaine et sociale de Suresnes,1 place de la gare de Suresnes-Longchamp
M1106,"musée Cernuschi, musée des arts de l'Asie de la ville de Paris",7 avenue Vélasquez
M1107,"musée Cognacq-Jay, musée du XVIIIe siècle de la ville de Paris",8 rue Elzévir
M5051,musée de l'Ecole nationale supérieure des beaux-arts,14 rue Bonaparte
M0365,musée de l'institut du monde arabe,"1, rue des Fossés-Saint-Bernard, Place Mohammed-V"
M9024,musée du service de santé des armées du Val-de-Grâce,"1, place Alphonse Laveran"
M5057,musée de la musique,"221, avenue Jean-Jaurès"
M0364,musée d'art et d'histoire du judaïsme,"71, rue du Temple"
M0372,musée municipal des Capucins,Parc des capucins
M0376,musée Gatien Bonnet,8 cour Pierre Herbin
M0381,château musée de Nemours,Rue Gautier 1er - Cour du Château
M0383,musée de Provins et du Provinois,"7, rue du Palais"
M0386,musée départemental Stéphane Mallarmé,"4, quai Stéphane-Mallarmé"
M0423,musée municipal,12 rue Albert-Dhalenne
M0439,musée Pissarro,"17, rue du Château"
M0424,musée Adrien Mentienne,"1, grande rue Charles de Gaulle"
M0425,musée de la résistance nationale,88 avenue Marx Dormoy BP 135
M0387,musée de la batellerie,Place Gévelot
M0393,musée d'art et d'histoire,"12, Rue Saint-Louis"
M0394,musée du jouet Pierre Pinel,1 enclos de l'Abbaye
M0399,collections de la fondation de Coubertin,Conservation des collections
M0406,musée des années trente,"26, avenue André Morizet"
M0428,"musée des transports urbains, interurbains et ruraux","1, rue Gabriel de Mortillet"
M1126,fondation Arp,21 rue des Châtaigniers
M5016,musée national des châteaux de Malmaison et de Bois Préau,Avenue du chateau de Malmaison
M0416,musée des Avelines - musée d'art et d'histoire de Saint-Cloud,60 rue Gounod
M1202,musée d'art et d'histoire de l'hôpital Sainte-Anne,1 rue Cabanis
M1113,musée de la vie romantique,16 rue Chaptal
M5042,musée des monuments français,1 place du Trocadéro
M1108,"Palais Galliera, musée de la mode et de la ville de Paris",10 avenue Pierre Ier de Serbie
M5040,musée d'Ennery,"59, avenue Foch"
M5031,musée du Louvre,"Musée du Louvre, 75058 Paris CEDEX 01"
M1076,musée de l'assistance publique - hôpitaux de Paris,10 rue des Fossés-Saint-Marcel
M5003,musée du Moyen Âge - thermes et hôtel de Cluny,"6, place Paul Painlevé"
M5025,musée de l'armée,"129, rue de Grenelle"
M0366,musée de la Franc-Maçonnerie,16 rue Cadet
M5041,musée Gustave Moreau,"14, rue de la Rochefoucauld"
M0375,musée d'art et d'histoire militaire,88 rue St Honoré
M0377,musée Henri Chapu,"937, rue Henri Chapu"
M1213,musée Daubigny,Manoir des Colombières
M5012,musée de la Renaissance - château d'Ecouen,Château d'Ecouen
M0436,"ARCHÉA, Archéologie en Pays de France",56 rue de Paris
M0426,écomusée,"41, rue Maurice Tenine"
M5064,musée Fragonard,7 avenue du Général de Gaulle
M0427,musée,"36, boulevard Gallieni"
M0431,musée d'art contemporain du Val-de-Marne,Place de la Libération
M5045,musée de Port-Royal des Champs,Route des Granges
M0389,musée de l'hôtel-Dieu,1 rue Thiers
M0390,musée du domaine royal de Marly Louveciennes/Marly-le-Roi,1 Grille royale - Parc de Marly
M1186,musée Zola-Dreyfus,26 Rue Pasteur
M5001,musée d'archéologie nationale (des origines à l'an mille) - château de Saint-Germain-en-Laye,Place Charles de Gaulle
M0400,musée Lambinet,"54, boulevard de la Reine"
M0405,musée municipal,Hôtel de ville
M0407,musée départemental Albert-Kahn,"14, rue du Port"
M1170,musée Paul Belmondo et de la scuplture figurative du Xxe siècle,14 Rue de l'Abreuvoir
M0408,musée-jardin Paul Landowski,"14, rue Max-Blondat"
M0412,musée d'art et d'histoire,"11, rue des Pierres"
M1219,musée du Grand Siècle,Caserne Sully
M1102,maison de Balzac,47 rue Raynouard
M1109,musée de la Libération de Paris - musée du général Leclerc - musée Jean Moulin,23 allée de la 2ème Division Blindée
M5071,musée des Plans-reliefs,129 rue de Grenelle
M5084,musée national de l'histoire et des cultures de l'immigration,293 Av. Daumesnil
M1115,musée Zadkine,100 bis rue d'Assas
M5005,musée des arts asiatiques Guimet,"6, place d'Iéna"
M5043,musée Picasso,"5, rue Thorigny"
M7003,muséum national d'histoire naturelle,"2, rue Buffon"
M0373,maison natale de Louis Braille,"13, rue Louis Braille"
M0374,musée municipal,s'adresser à la mairie
M0379,musée de Melun,5 rue du Franc Mûrier
M0384,musée des pays de Seine-et-Marne,"17, avenue de la Ferté-sous-Jouarre"
M5024,musée de l'air et de l'espace,BP 173
M0420,musée de l'histoire vivante,"31, boulevard Théophile Sueur"
M0422,musée d'art et d'histoire Paul Eluard,"22 bis, rue Gabriel Peri"
M0388,musée de la toile de Jouy,"54, rue Charles de Gaulle"
M0391,musée Victor Aubert,24 Rue Quincampoix
M0395,musée Rambolitrain,"4, place Jeanne d'Arc"
M0396,musée départemental Maurice Denis,"2bis, rue Maurice Denis"
M0402,musée Dunoyer de Segonzac,"5, place des Droits de l'Homme"
M0404,musée du château,Place du général de Gaulle
M0409,musée municipal d'art et d'histoire,"2, rue Gabriel Péri"
M1149,musée des travaux publics,s'adresser à la mairie
M0417,musée du domaine départemental de Sceaux,Domaine Départemental de Sceaux
M1103,musée Bourdelle,16 rue Antoine Bourdelle
M1101,musée d'art moderne de la ville de Paris,11 avenue du Président Wilson
M5055,musée du Quai Branly - Jacques Chirac,37 quai Branly
M5026,musée national de la marine,"17, place du Trocadéro"
M5039,musée Jean-Jacques Henner,"43, avenue de Villiers"
M0369,musée de Montmartre,"12, rue Cortot"
M5050,musée national d'art moderne (centre national d'art et de culture Georges Pompidou),Place Georges Pompidou
M5004,musée Eugène Delacroix,6 rue de Fürstenberg
M5059,musée national de la Légion d'honneur et des ordres de chevalerie,"2, rue de la Légion d'honneur"
M5044,musée Rodin,77 rue de Varenne
M9013,musée de la Gendarmerie,Avenue du 13e Dragons
M0385,écomusée,Place George-Henri Rivière
