region,ville
MIDI-PYRENEES,GAILLAC
MIDI-PYRENEES,LISLE-SUR-TARN
NORD-PAS-DE-CALAIS,BAILLEUL
NORD-PAS-DE-CALAIS,DUNKERQUE
NORD-PAS-DE-CALAIS,BERCK-SUR-MER
NORD-PAS-DE-CALAIS,MONTREUIL-SUR-MER
BASSE-NORMANDIE,BAYEUX
BASSE-NORMANDIE,LE MOLAY-LITTRY
BASSE-NORMANDIE,SAINT-GERMAIN DE LIVET
BASSE-NORMANDIE,TILLY-SUR-SEULLES
BASSE-NORMANDIE,CERISY-LA-FORET
BASSE-NORMANDIE,CHERBOURG-EN-COTENTIN
BASSE-NORMANDIE,COUTANCES
BASSE-NORMANDIE,SAINT-VAAST-LA-HOUGUE
BASSE-NORMANDIE,TORIGNI-SUR-VIRE
BASSE-NORMANDIE,LA FERTE-MACE
HAUTE-NORMANDIE,EVREUX
HAUTE-NORMANDIE,VERNON
HAUTE-NORMANDIE,CAUDEBEC-EN-CAUX
HAUTE-NORMANDIE,HARFLEUR
HAUTE-NORMANDIE,LE HAVRE
HAUTE-NORMANDIE,MARTAINVILLE-EPREVILLE
HAUTE-NORMANDIE,SAINT-NICOLAS-D'ALIERMONT
HAUTE-NORMANDIE,VILLEQUIER
HAUTE-NORMANDIE,YVETOT
PAYS DE LA LOIRE,BATZ-SUR-MER
PAYS DE LA LOIRE,NANTES
PAYS DE LA LOIRE,SAINT-MALO DE GUERSAC
PAYS DE LA LOIRE,SAINT-NAZAIRE
PAYS DE LA LOIRE,ANGERS
PAYS DE LA LOIRE,BEAUFORT-EN-VALLEE
PAYS DE LA LOIRE,CHOLET
PAYS DE LA LOIRE,SAINT LAMBERT-DU-LATTAY - VAL-DU-LAYON
PAYS DE LA LOIRE,TRELAZE
PAYS DE LA LOIRE,FAYMOREAU
PAYS DE LA LOIRE,LA GUERINIERE
PAYS DE LA LOIRE,SOULLANS
PICARDIE,LA FERE
PICARDIE,COMPIEGNE
PICARDIE,CREIL
PICARDIE,CREPY-EN-VALOIS
PICARDIE,SENLIS
PICARDIE,ABBEVILLE
PICARDIE,AMIENS
POITOU-CHARENTES,ANGOULEME
POITOU-CHARENTES,LA ROCHELLE
POITOU-CHARENTES,ROCHEFORT
POITOU-CHARENTES,SAINTES
POITOU-CHARENTES,SAINT-MARTIN-DE-RE
POITOU-CHARENTES,ST-PIERRE D'OLERON
POITOU-CHARENTES,BOUGON
POITOU-CHARENTES,THOUARS
POITOU-CHARENTES,CHATELLERAULT
POITOU-CHARENTES,CHAUVIGNY
PROVENCE-ALPES-CÔTE D'AZUR,BARCELONNETTE
PROVENCE-ALPES-CÔTE D'AZUR,DIGNE-LES-BAINS
PROVENCE-ALPES-CÔTE D'AZUR,QUINSON
PROVENCE-ALPES-CÔTE D'AZUR,RIEZ-LA-ROMAINE
PROVENCE-ALPES-CÔTE D'AZUR,SISTERON
PROVENCE-ALPES-CÔTE D'AZUR,CANNES
PROVENCE-ALPES-CÔTE D'AZUR,NICE
PROVENCE-ALPES-CÔTE D'AZUR,TENDE
PROVENCE-ALPES-CÔTE D'AZUR,AIX-EN-PROVENCE
PROVENCE-ALPES-CÔTE D'AZUR,LES BAUX DE PROVENCE
PROVENCE-ALPES-CÔTE D'AZUR,MAILLANE
PROVENCE-ALPES-CÔTE D'AZUR,MARSEILLE
PROVENCE-ALPES-CÔTE D'AZUR,MARTIGUES
PROVENCE-ALPES-CÔTE D'AZUR,SAINT-REMY-DE-PROVENCE
PROVENCE-ALPES-CÔTE D'AZUR,DRAGUIGNAN
PROVENCE-ALPES-CÔTE D'AZUR,TOULON
PROVENCE-ALPES-CÔTE D'AZUR,APT
PROVENCE-ALPES-CÔTE D'AZUR,SAULT
RHONE-ALPES,BOURG-EN-BRESSE
RHONE-ALPES,NANTUA
RHONE-ALPES,OYONNAX
RHONE-ALPES,SOYONS
RHONE-ALPES,VALENCE
RHONE-ALPES,VIENNE
RHONE-ALPES,MONTBRISON
RHONE-ALPES,ROANNE
RHONE-ALPES,SAINT-ETIENNE
RHONE-ALPES,LYON
ALSACE,BETSCHDORF
ALSACE,STRASBOURG
ALSACE,ALTKIRCH
ALSACE,COLMAR
ALSACE,HUNINGE
ALSACE,MULHOUSE
