nom_du_musee,année,region,ville,payant,gratuit,total,id_museofile
Musée de l'Abbaye Saint-Michel,2009,MIDI-PYRENEES,GAILLAC,2613,669,3282,
Musée Raymond Lafage,2009,MIDI-PYRENEES,LISLE-SUR-TARN,1898,4429,6327,
Musée Benoît de Puydt,2009,NORD-PAS-DE-CALAIS,BAILLEUL,6590,0,6590,
Musée Portuaire,2009,NORD-PAS-DE-CALAIS,DUNKERQUE,24543,21642,46185,
Musée Communautaire Opale-Sud,2009,NORD-PAS-DE-CALAIS,BERCK-SUR-MER,2757,7149,9906,
Musée d'Art et d'Histoire Roger Rodière,2009,NORD-PAS-DE-CALAIS,MONTREUIL-SUR-MER,2501,7044,9545,
Musée Baron Gérard,2009,BASSE-NORMANDIE,BAYEUX,3796,8314,12110,
Musée de la Meunerie - Moulin de Marcy,2009,BASSE-NORMANDIE,LE MOLAY-LITTRY,3544,3372,6916,
Château de Saint-Germain de Livet,2009,BASSE-NORMANDIE,SAINT-GERMAIN DE LIVET,9268,12025,21293,
Musée de la Bataille de Tilly-Sur-Seulles 1944,2009,BASSE-NORMANDIE,TILLY-SUR-SEULLES,1678,0,1678,
Musée de l'Abbaye,2009,BASSE-NORMANDIE,CERISY-LA-FORET,5750,1028,6778,
Musée de la Guerre et de la Libération,2009,BASSE-NORMANDIE,CHERBOURG-EN-COTENTIN,9799,5892,15691,
Musée Quesnel-Morinière,2009,BASSE-NORMANDIE,COUTANCES,310,10644,10954,
Musée Maritime de l'Ile de Tatihou,2009,BASSE-NORMANDIE,SAINT-VAAST-LA-HOUGUE,55919,5032,60951,
Musée du Château,2009,BASSE-NORMANDIE,TORIGNI-SUR-VIRE,800,1200,2000,
Musée Municipal - Musée du Jouet,2009,BASSE-NORMANDIE,LA FERTE-MACE,464,152,616,
Musée de l'Ancien Evêché,2009,HAUTE-NORMANDIE,EVREUX,0,19499,19499,
Musée Alphonse-Georges Poulain,2009,HAUTE-NORMANDIE,VERNON,4846,10748,15594,
Maison des Templiers,2009,HAUTE-NORMANDIE,CAUDEBEC-EN-CAUX,816,404,1220,
Musée du Prieuré,2009,HAUTE-NORMANDIE,HARFLEUR,287,3261,3548,
Musée d'Art Moderne André Malraux - MuMa,2009,HAUTE-NORMANDIE,LE HAVRE,39289,25406,64695,
Musée des Traditions et Arts Normands,2009,HAUTE-NORMANDIE,MARTAINVILLE-EPREVILLE,6011,7952,13963,
Association de l'Horlogerie Aliermontaise,2009,HAUTE-NORMANDIE,SAINT-NICOLAS-D'ALIERMONT,3626,1484,5110,
Musée Victor Hugo,2009,HAUTE-NORMANDIE,VILLEQUIER,5250,8713,13963,
Musée Municipal des Ivoires,2009,HAUTE-NORMANDIE,YVETOT,965,281,1246,
Musée des Marais Salant,2009,PAYS DE LA LOIRE,BATZ-SUR-MER,11844,1115,12959,
Musée  Départemental Dobrée,2009,PAYS DE LA LOIRE,NANTES,5143,32826,37969,
Maison de l'Eclusier /Parc Naturel Régional de Brière,2009,PAYS DE LA LOIRE,SAINT-MALO DE GUERSAC,3806,585,4391,
Ecomusée de Saint-Nazaire,2009,PAYS DE LA LOIRE,SAINT-NAZAIRE,7048,12525,19573,
Musée des Beaux-Arts,2009,PAYS DE LA LOIRE,ANGERS,19577,62408,81985,
Musée Joseph Denais,2009,PAYS DE LA LOIRE,BEAUFORT-EN-VALLEE,0,263,263,
Musée d'Art et d'Histoire,2009,PAYS DE LA LOIRE,CHOLET,1533,13450,14983,
Musée du Textile,2009,PAYS DE LA LOIRE,CHOLET,5440,9047,14487,
Musée de la Vigne et du Vin d'Anjou,2009,PAYS DE LA LOIRE,SAINT LAMBERT-DU-LATTAY - VAL-DU-LAYON,4371,1269,5640,
